,title,n,official_faculty,Notes
1,Psychology & Education,35,Yes,
2,Medicine,25,Yes,
3,"Math, Informatics & Stats",18,Yes,
4,University Hospital,18,No,What to do with these? Leave as Hospital?
5,Social Sciences,17,Yes,
7,Language & Literatures,6,Yes,
6,,6,No,Data entry issue
8,NA,5,No,Empty fields
9,Economics,4,Yes,
10,Biology,3,Yes,
11,Geosciences,3,Yes,
12,Philosophy,3,Yes,"Shortened name for Philosophy, Philosophy of Science and Religious Studies"
13,Business Administration,2,Unclear,Alt name for Munich School of Management?
14,Munich School of Management,2,Yes,
15,Physics,2,Yes,
16,TUM Medicine & Health,2,No,External so won’t have a proper LMU Faculty to enter
17,History & Arts,1,Yes,
18,"Medicine, IBE",1,No,Double membership
19,"Medicine, Psychology & Education",1,No,Double membership
20,Munich Medical Research School,1,No,Not sure what this is
21,Open Science Center,1,No,How do we want to label OSC staff?
22,Science,1,No,Error somewhere
23,Study of Culture,1,Yes,
24,University Library,1,No,
25,Veterinary Medicine,1,Yes,
